account_id,customer_id,account_type,branch,ifsc_code,currency,balance,interest_rate,open_date,close_date,status,is_joint_account
100263,188,Savings,Pokhara City,PKRA0002,NPR,1527.1,5.2,2025-10-25,,Active,False
100264,189,Savings,Itahari Plaza,ITHR0008,NPR,161589.94,4.64,2015-07-29,,Active,False
100265,190,Fixed Deposit,Dharan North,DHRN0006,NPR,245746.71,9,2021-05-22,,Dormant,False
100266,191,Savings,Biratnagar East,BRTN0004,NPR,243327.4,3.94,2023-10-15,,Active,False
100267,192,Fixed Deposit,Pokhara City,PKRA0002,NPR,381760.51,10.8,2017-11-06,,Active,False
100268,193,Savings,Dharan North,DHRN0006,NPR,197518.86,3.88,2022-03-24,,Active,False
100269,194,Recurring Deposit,Itahari Plaza,ITHR0008,NPR,0,9.27,2025-02-03,2026-05-14,Closed,True
100270,195,Fixed Deposit,Biratnagar East,BRTN0004,NPR,0,10,2024-09-16,2026-02-26,Closed,False
100271,196,Checking,Butwal West,BTWL0005,NPR,0,0,2022-10-06,2026-03-14,Closed,True
100272,196,Fixed Deposit,Biratnagar East,BRTN0004,NPR,760143.38,9.39,2024-12-23,,Active,False
100273,197,Checking,Dharan North,DHRN0006,NPR,11788.92,0,2023-06-08,,Active,False
100274,198,Recurring Deposit,Kathmandu Main,KTMN0001,NPR,341497.07,10.36,2025-10-14,,Active,False
100275,199,Recurring Deposit,Itahari Plaza,ITHR0008,NPR,725537.35,8.64,2017-05-17,,Active,False
100276,199,Savings,Butwal West,BTWL0005,NPR,63182.09,3.88,2022-02-22,,Active,True
100277,200,Checking,Butwal West,BTWL0005,NPR,137590.01,0,2026-03-01,,Active,False
100278,200,Checking,Bhaktapur Central,BHKT0007,NPR,-5579.38,0,2025-01-31,,Active,False
100279,200,Recurring Deposit,Kathmandu Main,KTMN0001,NPR,444155.17,6.69,2024-09-25,,Active,True
100280,99999,Savings,Kathmandu Main,KTMN0001,NPR,15000,4,2023-05-10,,Active,False
